distance,traffic_level,weather_condition,temperature,package_weight,day_of_week,hour,preferred_time_slot,delivery_time
5.2,medium,sunny,22.5,2.5,1,9,morning,32
3.8,low,cloudy,18.3,1.2,2,14,afternoon,28
2.1,high,rainy,15.7,5.0,3,18,evening,52
1.5,low,sunny,28.9,0.8,4,10,morning,18
4.3,medium,sunny,32.1,3.2,5,15,afternoon,40
6.8,high,rainy,12.3,4.5,1,19,evening,65
3.2,low,cloudy,20.1,1.8,2,9,morning,25
5.5,medium,sunny,25.4,2.1,3,14,afternoon,45
7.2,high,foggy,10.5,6.2,4,18,evening,72
2.8,low,sunny,27.8,1.5,5,10,morning,22
4.9,medium,cloudy,19.6,3.8,1,15,afternoon,38
3.5,high,rainy,14.2,2.9,2,19,evening,48
6.1,low,sunny,23.7,4.1,3,9,morning,50
2.3,medium,cloudy,21.3,1.3,4,14,afternoon,28
5.7,high,rainy,13.8,5.5,5,18,evening,68
4.2,low,sunny,26.5,2.3,1,10,morning,35
3.9,medium,foggy,16.9,3.5,2,15,afternoon,42
6.5,high,rainy,11.7,4.8,3,19,evening,70
2.6,low,sunny,29.2,1.6,4,9,morning,20
5.3,medium,cloudy,22.1,2.8,5,14,afternoon,43
7.8,high,rainy,9.8,6.8,1,18,evening,85
3.1,low,sunny,24.6,1.9,2,10,morning,28
4.7,medium,sunny,20.8,3.3,3,15,afternoon,41
2.9,high,cloudy,17.4,2.6,4,19,evening,45
6.3,low,sunny,28.3,4.3,5,9,morning,52
1.8,medium,cloudy,19.2,1.1,1,14,afternoon,22
5.9,high,rainy,12.9,5.1,2,18,evening,69
4.1,low,sunny,25.9,2.4,3,10,morning,34
3.6,medium,foggy,18.5,3.1,4,15,afternoon,39
7.1,high,rainy,10.2,6.5,5,19,evening,78
2.4,low,sunny,27.1,1.4,1,9,morning,21
5.1,medium,cloudy,21.7,2.9,2,14,afternoon,44
6.7,high,rainy,13.4,5.8,3,18,evening,73
3.3,low,sunny,26.8,2.2,4,10,morning,29
4.5,medium,sunny,22.9,3.6,5,15,afternoon,42
2.7,high,cloudy,16.1,2.3,1,19,evening,38
5.8,low,sunny,24.2,4.2,2,9,morning,48
7.5,medium,rainy,14.6,5.3,3,14,afternoon,68
3.7,high,foggy,11.3,3.9,4,18,evening,55
6.2,low,sunny,28.7,4.6,5,10,morning,54
1.9,medium,cloudy,20.4,1.2,1,15,afternoon,24
4.8,high,rainy,12.1,4.9,2,19,evening,62
5.4,low,sunny,25.3,3.7,3,9,morning,45
3.4,medium,cloudy,19.8,2.7,4,14,afternoon,35
6.9,high,rainy,10.7,6.1,5,18,evening,76
2.5,low,sunny,26.2,1.7,1,10,morning,23
5.6,medium,sunny,23.4,3.4,2,15,afternoon,46
7.3,high,foggy,15.3,5.6,3,19,evening,74
4.4,low,sunny,27.5,2.6,4,9,morning,37
3.8,medium,cloudy,18.9,3.2,5,14,afternoon,40


